Athlete	CountryName	CountryCode	Gender	Sport	Medals	Appearances
djurdica bjedov	Yugoslavia	YUG	Female	Swimming	2	1
dmitry volkov	Soviet Union	URS	Male	Swimming	1	1
dmitry volkov, vadim yaroshchuk, gennady prigoda, igor polyansky	Soviet Union	URS	Male	Swimming	1	1
doina ignat, constanta burcica-pipota, georgeta andrunache, eniko barab?s, viorica susanu, rodica serban, simona musat, ioana papuc	Romania	ROM	Female	Rowing	1	1
doina ignat, georgeta damian	Romania	ROM	Female	Rowing	1	1
doina ignat, liliana gafencu, elena georgescu, georgeta damian, vera cochelea, maria magdalena dumitrache, elisabeta lipa, ioana olteanu, viorica susanu	Romania	ROM	Female	Rowing	1	1
doina ignat, vera cochelea, anisoara dobre-balan, constanta burcica-pipota	Romania	ROM	Female	Rowing	1	1
doina melinte	Romania	ROM	Female	Athletics	2	1
domenico fioravanti	Italy	ITA	Male	Swimming	2	1
donald boal, earl eastwood, harry fry, joseph harris, cedric liddell, george macdonald, albert taylor, william thoburn, stanley stanyar	Canada	CAN	Male	Rowing	1	1
donald finlay	Great Britain	GBR	Male	Athletics	2	2
donald lippincott	United States of America	USA	Male	Athletics	2	1
donald mckenzie	United States of America	USA	Male	Swimming	1	1
donald smith, gary macdonald, stephen pickell, clay evans	Canada	CAN	Male	Swimming	1	1
dongxiang xu, wenyi huang	China	CHN	Female	Rowing	1	1
donna de varona	United States of America	USA	Female	Swimming	1	1
donna de varona, kathleen ellis, sharon stouder, pokey watson	United States of America	USA	Female	Swimming	1	1
donna gurr	Canada	CAN	Female	Swimming	1	1
donovan bailey	Canada	CAN	Male	Athletics	1	1
don quarrie	Jamaica	JAM	Male	Athletics	3	2
don schollander	United States of America	USA	Male	Swimming	3	2
don thompson	Great Britain	GBR	Male	Athletics	1	1
dorian mortelette, benjamin rondeau, germain chardin, julien despr?s	France	FRA	Male	Rowing	1	1
dorothy hyman	Great Britain	GBR	Female	Athletics	2	1
dorothy manley	Great Britain	GBR	Female	Athletics	1	1
douglas bennett	Canada	CAN	Male	Canoeing	1	1
douglas gjertsen, troy dalbey, matt cetlinski, matt biondi	United States of America	USA	Male	Swimming	1	1
douglas lowe	Great Britain	GBR	Male	Athletics	2	2
douglas northway	United States of America	USA	Male	Swimming	1	1
douglas russell	United States of America	USA	Male	Swimming	1	1
douglas wakiihuri	Kenya	KEN	Male	Athletics	1	1
dragos neagu, danut dobre	Romania	ROM	Male	Rowing	1	1
drew ginn, duncan free	Australia	AUS	Male	Rowing	1	1
drew ginn, james chapman, joshua dunkley-smith, william lockwood	Australia	AUS	Male	Rowing	1	1
drew ginn, nicholas green, mike mckay, james tomkins	Australia	AUS	Male	Rowing	1	1
dudley storey, dick tonks, noel mills, ross collinge	New Zealand	NZL	Male	Rowing	1	1
duje draganja	Croatia	CRO	Male	Swimming	1	1
duke kahanamoku	United States of America	USA	Male	Swimming	3	3
duncan armstrong	Australia	AUS	Male	Swimming	2	1
duncan free, janusz hooker, bo hanson, ron snook	Australia	AUS	Male	Rowing	1	1
duncan goodhew	Great Britain	GBR	Male	Swimming	1	1
duncan white	Sri Lanka	SRI	Male	Athletics	1	1
dwayne evans	United States of America	USA	Male	Athletics	1	1
eamon sullivan	Australia	AUS	Male	Swimming	1	1
earl eby	United States of America	USA	Male	Athletics	1	1
earl jones	United States of America	USA	Male	Athletics	1	1
earl thomson	Canada	CAN	Male	Athletics	1	1
eckhard leue	German Democratic Republic	GDR	Male	Canoeing	1	1
ed coode, james cracknell, steve williams, matthew pinsent	Great Britain	GBR	Male	Rowing	1	1
eddie hart, larry black, robert taylor, gerald tinker	United States of America	USA	Male	Athletics	1	1
eddie southern	United States of America	USA	Male	Athletics	1	1
eddie tolan	United States of America	USA	Male	Athletics	2	1
eddy ottoz	Italy	ITA	Male	Athletics	1	1
edith mcguire	United States of America	USA	Female	Athletics	2	1
ed mckeever	Great Britain	GBR	Male	Canoeing	1	1
ed moses	United States of America	USA	Male	Swimming	1	1
eduardo guerrero, tranquilo cappozzo	Argentina	ARG	Male	Rowing	1	1
eduardo risso	Uruguay	URU	Male	Rowing	1	1
edvin wide	Sweden	SWE	Male	Athletics	4	2
edward lindberg	United States of America	USA	Male	Athletics	1	1
edwin moses	United States of America	USA	Male	Athletics	3	3
edwin roberts	Trinidad and Tobago	TRI	Male	Athletics	1	1
edwin soi	Kenya	KEN	Male	Athletics	1	1
eeke van nes, pieta van dishoeck	Netherlands	NED	Female	Rowing	1	1
eero berg	Finland	FIN	Male	Athletics	1	1
egil s?by, jan johansen, steinar amundsen, tore berger	Norway	NOR	Male	Canoeing	1	1
egil s?by, steinar amundsen, tore berger, jan johansen	Norway	NOR	Male	Canoeing	1	1
egon drews, wilfried soltau	Germany	GER	Male	Canoeing	1	1
eino purje-borg	Finland	FIN	Male	Athletics	1	1
eirik larsen	Norway	NOR	Male	Canoeing	2	2
eirik veraas larsen	Norway	NOR	Male	Canoeing	1	1
ejigayehu dibaba	Ethiopia	ETH	Female	Athletics	1	1
ekaterina karsten	Belarus	BLR	Female	Rowing	1	1
ekaterina poistogova	Russia	RUS	Female	Athletics	1	1
ekaterini thanou	Greece	GRE	Female	Athletics	1	1
elaine tanner	Canada	CAN	Female	Swimming	2	1
elaine tanner, marion lay, marilyn corson, angela coughlan	Canada	CAN	Female	Swimming	1	1
elana meyer	South Africa	RSA	Female	Athletics	1	1
eleanor garatti-saville	United States of America	USA	Female	Swimming	2	2
eleanor holm	United States of America	USA	Female	Swimming	1	1
elena lashmanova	Russia	RUS	Female	Athletics	1	1
elfi zinn	German Democratic Republic	GDR	Female	Athletics	1	1
elia luini, leonardo pettinari	Italy	ITA	Male	Rowing	1	1
elias katz	Finland	FIN	Male	Athletics	1	1
elio ragni, orazio mariani, tullio gonnelli, gianni caldana	Italy	KIT	Male	Athletics	1	1
elisabeta lipa	Romania	ROM	Female	Rowing	1	1
elisabeta lipa, vera cochelea	Romania	ROM	Female	Rowing	1	1
elisabeta lipa, vera cochelea, anisoara dobre-balan	Romania	ROM	Female	Rowing	1	1
elisa rigaudo	Italy	ITA	Female	Athletics	1	1
elise laverick, anna bebington	Great Britain	GBR	Female	Rowing	1	1
eliud kipchoge	Kenya	KEN	Male	Athletics	2	2
elizabeth beisel	United States of America	USA	Female	Swimming	2	1
elizabeth davies	Great Britain	GBR	Female	Swimming	1	1
elizabeth mccolgan	Great Britain	GBR	Female	Athletics	1	1
elizabeth robinson	United States of America	USA	Female	Athletics	1	1
elizabeth wagstaff, nicole haislett, megan kleine, crissy ahmann-leighton, jenny thompson, summer sanders, anita nall, lea loveless	United States of America	USA	Female	Swimming	1	1
elke sehmisch, gabriele wetzko, kornelia ender, andrea eife	German Democratic Republic	GDR	Female	Swimming	1	1
ellen fiedler	German Democratic Republic	GDR	Female	Athletics	1	1
ellen king	Great Britain	GBR	Female	Swimming	1	1
ellen king, joyce cooper, cissie stewart, vera tanner	Great Britain	GBR	Female	Swimming	1	1
ellen streidt	German Democratic Republic	GDR	Female	Athletics	1	1
ellen van langen	Netherlands	NED	Female	Athletics	1	1
ellie daniel	United States of America	USA	Female	Swimming	3	2
ellie daniel, catie ball, kaye hall, susan pedersen	United States of America	USA	Female	Swimming	1	1
elliott bunney, linford christie, mike mcfarlane, john regis	Great Britain	GBR	Male	Athletics	1	1
elodie ouedraogo, hanna marien, olivia borlee, kim gevaert	Belgium	BEL	Female	Athletics	1	1
else jacobsen	Denmark	DEN	Female	Swimming	1	1
elvan abeylegesse	Turkey	TUR	Female	Athletics	2	1
elvira vasilkova	Soviet Union	URS	Female	Swimming	1	1
emanuele merisi	Italy	ITA	Male	Swimming	1	1
emanuel silva, fernando piment	Portugal	POR	Male	Canoeing	1	1
emiel puttemans	Belgium	BEL	Male	Athletics	1	1
emil breitkreutz	United States of America	USA	Male	Athletics	1	1
emile champion	France	FRA	Male	Athletics	1	1
emilio lunghi	Italy	KIT	Male	Athletics	1	1
emily seebohm	Australia	AUS	Female	Swimming	1	1
emily silver, julia smit, dara torres, kara lynn joyce, lacey nymeyer, natalie coughlin	United States of America	USA	Female	Swimming	1	1
emil z?topek	Czech Republic	CZE	Male	Athletics	5	2
emmanuel bailey	Great Britain	GBR	Male	Athletics	1	1
enith brigitha	Netherlands	NED	Female	Swimming	2	1
enrique figuerola	Cuba	CUB	Male	Athletics	1	1
enrique figuerola, hermes ramirez, pablo montes, juan morales	Cuba	CUB	Male	Athletics	1	1
eric fish, robert kasting, william mahony, bruce robertson	Canada	CAN	Male	Swimming	1	1
erich borchmeyer, erwin gillmeister, wilhelm leichum, gerd hornberger	Germany	GER	Male	Athletics	1	1
erich borchmeyer, helmuth k?rnig, arthur jonath, fritz hendrix	Germany	GER	Male	Athletics	1	1
erich koschik	Germany	GER	Male	Canoeing	1	1
erich rademacher	Germany	GER	Male	Swimming	1	1
erick barrondo	Guatemala	GUA	Male	Athletics	1	1
erick wainaina	Kenya	KEN	Male	Athletics	2	2
eric liddell	Great Britain	GBR	Male	Athletics	2	1
eric murray, hamish bond	New Zealand	NZL	Male	Rowing	1	1
eric namesnik	United States of America	USA	Male	Swimming	2	2
eric verdonk	New Zealand	NZL	Male	Rowing	1	1
erik backman	Sweden	SWE	Male	Athletics	1	1
erik byl?hn	Sweden	SWE	Male	Athletics	1	1
erik christiansen, lars nielsen, per rasmussen, michael jessen	Denmark	DEN	Male	Rowing	1	1
erik elms?ter	Sweden	SWE	Male	Athletics	1	1
erik hansen	Denmark	DEN	Male	Canoeing	2	2
erik vendt	United States of America	USA	Male	Swimming	2	2
erkka wil?n	Finland	FIN	Male	Athletics	1	1
erminio dones, pietro annoni	Italy	KIT	Male	Rowing	1	1
ernesto ambrosini	Italy	KIT	Male	Athletics	1	1
ernesto canto	Mexico	MEX	Male	Athletics	1	1
ernie harper	Great Britain	GBR	Male	Athletics	1	1
ernst fast	Sweden	SWE	Male	Athletics	1	1
ernst hoppenberg	Germany	DEU	Male	Swimming	1	1
ernst schultz	Denmark	DEN	Male	Athletics	1	1
ervin hall	United States of America	USA	Male	Athletics	1	1
erwin sietas	Germany	GER	Male	Swimming	1	1
erzsebet viski, kinga bota, katalin kovacs, szilvia szabo	Hungary	HUN	Female	Canoeing	1	1
eshetu tura	Ethiopia	ETH	Male	Athletics	1	1
eskild ebbesen, kasper winther, jacob barsoe, morten jorgensen	Denmark	DEN	Male	Rowing	1	1
eskild ebbesen, thomas ebert, victor feddersen, soren madsen	Denmark	DEN	Male	Rowing	1	1
ethelda bleibtrey	United States of America	USA	Female	Swimming	1	1
ethel lackie	United States of America	USA	Female	Swimming	1	1
ethel smith	Canada	CAN	Female	Athletics	1	1
etienne dagon	Switzerland	SUI	Male	Swimming	1	1
etienne gailly	Belgium	BEL	Male	Athletics	1	1
euphrasia donnelly, ethel lackie, gertrude ederle, mariechen wehselau	United States of America	USA	Female	Swimming	1	1
eva-maria ten elsen	Germany	GER	Female	Swimming	1	1
eva risztov	Hungary	HUN	Female	Swimming	1	1
evelyn ashford	United States of America	USA	Female	Athletics	2	2
evelyn kawamoto	United States of America	USA	Female	Swimming	1	1
evelyn kawamoto, joan alderson, marilee stepan, jacqueline lavine	United States of America	USA	Female	Swimming	1	1
everard butler	Canada	CAN	Male	Rowing	1	1
evgeny korotyshkin	Russia	RUS	Male	Swimming	1	1
evgeny lagunov, nikita lobintsev, mikhail polishchuk, danila izotov, alexander sukhorukov	Russia	RUS	Male	Swimming	1	1
ewa klobukowska	Poland	POL	Female	Athletics	1	1
ewa klobukowska, halina g?recka-richter, teresa ciepla, irena szewinska	Poland	POL	Female	Athletics	1	1
ezekiel kemboi	Kenya	KEN	Male	Athletics	2	2
fabien gilot, amaury leveaux, clement lefert, yannick agnel	France	FRA	Male	Swimming	1	1
faith leech	Australia	AUS	Female	Swimming	1	1
falilat ogunkoya	Nigeria	NGR	Female	Athletics	1	1
fani halkia	Greece	GRE	Female	Athletics	1	1
fanny blankers-koen	Netherlands	NED	Female	Athletics	2	1
fanny durack	Australasia	ANZ	Female	Swimming	1	1
fanny rosenfeld	Canada	CAN	Female	Athletics	1	1
fatuma roba	Ethiopia	ETH	Female	Athletics	1	1
fay moulton	United States of America	USA	Male	Athletics	1	1
federica pellegrini	Italy	ITA	Female	Swimming	2	2
felipe m??oz	Mexico	MEX	Male	Swimming	1	1
felix sanchez	Dominican Republic	DOM	Male	Athletics	2	2
ferenc csik	Hungary	HUN	Male	Swimming	1	1
ferenc moh?csi, k?roly wieland	Hungary	HUN	Male	Canoeing	1	1
ferenc novak, imre pulai	Hungary	HUN	Male	Canoeing	1	1
fermin cacho	Spain	ESP	Male	Athletics	2	2
fernanda ribeiro	Portugal	POR	Female	Athletics	2	2
fernando scherer	Brazil	BRA	Male	Swimming	1	1
fie udby erichsen	Denmark	DEN	Female	Rowing	1	1
filbert bayi	Tanzania	TAN	Male	Athletics	1	1
filippo soffici, alessandro corona, gianluca farina, rossano galtarossa	Italy	ITA	Male	Rowing	1	1
fita bayissa	Ethiopia	ETH	Male	Athletics	1	1
fita lovin	Romania	ROM	Female	Athletics	1	1
florence griffith-joyner	United States of America	USA	Female	Athletics	3	2
florent manaudou	France	FRA	Male	Swimming	1	1
florian schwarthoff	Germany	GER	Male	Athletics	1	1
florin popescu, mitica pricop	Romania	ROM	Male	Canoeing	1	1
ford konno	United States of America	USA	Male	Swimming	2	1
ford konno, james mclane, wayne moore, william woolsey	United States of America	USA	Male	Swimming	1	1
forrest smithson	United States of America	USA	Male	Athletics	1	1
forrest towns	United States of America	USA	Male	Athletics	1	1
foy draper, ralph metcalfe, jesse owens, frank wykoff	United States of America	USA	Male	Athletics	1	1
francesco cossu, giliante d'este, antonio ghiardello, antonio garzoni provenzani	Italy	KIT	Male	Rowing	1	1
francesco la macchia, aldo dezzi	Italy	ITA	Male	Canoeing	1	1
frances schroth	United States of America	USA	Female	Swimming	1	1
frances schroth, ethelda bleibtrey, irene guest, margaret woodbridge	United States of America	USA	Female	Swimming	1	1
francine fox, glorianne perrier	United States of America	USA	Female	Canoeing	1	1
francis amyot	Canada	CAN	Male	Canoeing	1	1
francisco javier fernandez	Spain	ESP	Male	Athletics	1	1
francis hegerty, matthew ryan, james marburg, cameron mckenzie-mcharg	Australia	AUS	Male	Rowing	1	1
francis kerbiriou, gilles bertould, jacques carette, roger v?lasquez	France	FRA	Male	Athletics	1	1
francis lane	United States of America	USA	Male	Athletics	1	1
francis obikwelu	Portugal	POR	Male	Athletics	1	1
franjo mihalic	Yugoslavia	YUG	Male	Athletics	1	1
frank baltrusch	German Democratic Republic	GDR	Male	Swimming	1	1
frank baumgartl	German Democratic Republic	GDR	Male	Athletics	1	1
frank beaurepaire	Australasia	ANZ	Male	Swimming	2	3
frank beaurepaire	Australia	AUS	Male	Swimming	2	3
frank beaurepaire, william herald, henry hay, ivan stedman	Australia	AUS	Male	Swimming	1	1
frank cuhel	United States of America	USA	Male	Athletics	1	1
frank esposito	France	FRA	Male	Swimming	1	1
frank forberger, dieter grahn, dieter schubert, frank r?hle	German Democratic Republic	GDR	Male	Rowing	1	1
frank greer	United States of America	USA	Male	Rowing	1	1
frank hansen, svein th?gersen	Norway	NOR	Male	Rowing	1	1
frankie fredericks	Namibia	NAM	Male	Athletics	4	2
frank jarvis	United States of America	USA	Male	Athletics	1	1
frank loomis	United States of America	USA	Male	Athletics	1	1
frank mckinney	United States of America	USA	Male	Swimming	2	2
frank mckinney, lance larson, jeffrey farrell, paul hait	United States of America	USA	Male	Swimming	1	1
frank pf?tze, detlev grabs, rainer strohbach, j?rg woithe	German Democratic Republic	GDR	Male	Swimming	1	1
frank saker, harvey charters	Canada	CAN	Male	Canoeing	1	1
frank schaffer	German Democratic Republic	GDR	Male	Athletics	1	1
frank shorter	United States of America	USA	Male	Athletics	2	2
frank waller	United States of America	USA	Male	Athletics	2	1
frank wiegand	Germany	GER	Male	Swimming	1	1
frank wiegand, roland matthes, eugen henninger, horst-g?nter gregor	German Democratic Republic	GDR	Male	Swimming	1	1
franziska van almsick	Germany	GER	Female	Swimming	3	2
franziska van almsick, hannah stockbauer, antje buschschulte, petra dallmann, janina g?tz	Germany	GER	Female	Swimming	1	1
franziska van almsick, sandra v?lker, simone osygus, kerstin kielga?, dagmar hase, meike freitag	Germany	GER	Female	Swimming	1	1
fr?d?ric delcourt	France	FRA	Male	Swimming	1	1
fred deburghgraeve	Belgium	BEL	Male	Swimming	1	1
freddie lane	Australia	AUS	Male	Swimming	1	1
frederica van der goes, rhoda rennie, kathleen russell, marie bedford	South Africa	SAF	Female	Swimming	1	1
frederick murray	United States of America	USA	Male	Athletics	1	1
frederick pollard	United States of America	USA	Male	Athletics	1	1
frederick schule	United States of America	USA	Male	Athletics	1	1
frederick tyler, mark spitz, john kinsella, steven genter	United States of America	USA	Male	Swimming	1	1
fred holman	Great Britain	GBR	Male	Swimming	1	1
fred kelly	United States of America	USA	Male	Athletics	1	1
fred moloney	United States of America	USA	Male	Athletics	1	1
fred newhouse	United States of America	USA	Male	Athletics	1	1
fred newhouse, maxie parks, benjamin brown, herman frazier	United States of America	USA	Male	Athletics	1	1
fred onyancha	Kenya	KEN	Male	Athletics	1	1
fred schmidt	United States of America	USA	Male	Swimming	1	1
fred schmidt, harold mann, steve clark, william craig	United States of America	USA	Male	Swimming	1	1
friedhelm wentzke, berni schulze, g?nter perleberg, holger zander	Germany	GER	Male	Canoeing	1	1
fritz bondroit, ewald tilker	Germany	GER	Male	Canoeing	1	1
fritz hofmann	Germany	DEU	Male	Athletics	1	1
fritzi schwingl	Austria	AUT	Female	Canoeing	1	1
gabi m?ller, sabine eichenberger, ingrid haralamow, daniela baumer	Switzerland	SUI	Female	Canoeing	1	1
gabriela szabo	Romania	ROM	Female	Athletics	3	2
gabriella dorio	Italy	ITA	Female	Athletics	1	1
gabriella szab?, katalin kov?cs, danuta koz?k, natasa janics	Hungary	HUN	Female	Canoeing	1	1
gabriel tiacoh	Cote d'Ivoire	CIV	Male	Athletics	1	1
gail devers	United States of America	USA	Female	Athletics	2	2
gail neall	Australia	AUS	Female	Swimming	1	1
galen rupp	United States of America	USA	Male	Athletics	1	1
galina alekseyeva-kreft, nina trofimova-gopova	Soviet Union	URS	Female	Canoeing	1	1
galina bukharina, lyudmila samotesova, vera popkova, lyudmila maslakova	Soviet Union	URS	Female	Athletics	1	1
galina malchugina, lyudmila kondratyeva, natalya pomoshchnikova, marina zhirova	Soviet Union	URS	Female	Athletics	1	1
galina stepanova-prozumenshchykova	Soviet Union	URS	Female	Swimming	5	3
gamze bulut	Turkey	TUR	Female	Athletics	1	1
garth manton, michael aikman, adrian monger, harold hewitt, james howden, walter howell, bryan doyle, angus benfield, david boykett	Australia	AUS	Male	Rowing	1	1
gary chapman	Australia	AUS	Male	Swimming	1	1
gary dilley	United States of America	USA	Male	Swimming	1	1
gary gullock, paul reedy, anthony lovrich, timothy mclaren	Australia	AUS	Male	Rowing	1	1
gary hall	United States of America	USA	Male	Swimming	3	3
gary hall jr.	United States of America	USA	Male	Swimming	5	3
gary hall jr., ian crocker, nate dusing, jason lezak, michael phelps, gabe woodward, neil walker	United States of America	USA	Male	Swimming	1	1
gary ilman, don schollander, michael austin, steve clark	United States of America	USA	Male	Swimming	1	1
gary oakes	Great Britain	GBR	Male	Athletics	1	1
gaston delaplane	France	FRA	Male	Rowing	1	1
gaston giran, alfred pl?	France	FRA	Male	Rowing	1	1
gaston godel	Switzerland	SUI	Male	Athletics	1	1
gaston mercier, yves delacour, guy guillabert, ren? guissart	France	FRA	Male	Rowing	1	1
gaston reiff	Belgium	BEL	Male	Athletics	1	1
gaston roelants	Belgium	BEL	Male	Athletics	1	1
gaston strobino	United States of America	USA	Male	Athletics	1	1
geert jan derksen, gerritjan eggenkamp, jan-willem gabriels, chun wei cheung, michiel bartman, matthijs vellenga, gijs vermeulen, diederik simon, daniel mensch	Netherlands	NED	Male	Rowing	1	1
geertje wielema	Netherlands	NED	Female	Swimming	1	1
gelindo bordin	Italy	ITA	Male	Athletics	1	1
gennady bukarin	Soviet Union	URS	Male	Canoeing	1	1
gennady korshikov, aleksandr timoshinin	Soviet Union	URS	Male	Rowing	1	1
gennady prigoda	Soviet Union	URS	Male	Swimming	1	1
geoff huegill	Australia	AUS	Male	Swimming	1	1
geoff stewart, james stewart, ben dodwell, bo hanson	Australia	AUS	Male	Rowing	1	1
george bovell	Trinidad and Tobago	TRI	Male	Swimming	1	1
george breen	United States of America	USA	Male	Swimming	3	2
george breen, richard hanley, ford konno, william woolsey	United States of America	USA	Male	Swimming	1	1
george bridgewater, nathan twaddle	New Zealand	NZL	Male	Rowing	1	1
george dicarlo	United States of America	USA	Male	Swimming	2	1
george dietz, august erker, albert nasse, arthur stockhoff	United States of America	USA	Male	Rowing	1	1
george harrison, richard blick, jeffrey farrell, michael troy	United States of America	USA	Male	Swimming	1	1
george hodgson	Canada	CAN	Male	Swimming	2	1
george hungerford, roger jackson	Canada	CAN	Male	Rowing	1	1
george hutson	Great Britain	GBR	Male	Athletics	1	1
george kerr	West Indies Federation	BWI	Male	Athletics	1	1
george kerr, keith gardner, james wedderburn, malcolm spence	West Indies Federation	BWI	Male	Athletics	1	1
george kojac	United States of America	USA	Male	Swimming	1	1
george mackay, archibald black, colin finlayson, william wood	Canada	CAN	Male	Rowing	1	1
george nash, william satch	Great Britain	GBR	Male	Rowing	1	1
george orton	Canada	CAN	Male	Athletics	1	1
george poage	United States of America	USA	Male	Athletics	1	1
george rhoden	Jamaica	JAM	Male	Athletics	1	1
george rhoden, arthur wint, herb mckenley, leslie laing	Jamaica	JAM	Male	Athletics	1	1
george saling	United States of America	USA	Male	Athletics	1	1
georges dransart, georges gandil	France	FRA	Male	Canoeing	1	1
george simpson	United States of America	USA	Male	Athletics	1	1
georges piot, maurice bouton	France	FRA	Male	Rowing	1	1
georges vallerey	France	FRA	Male	Swimming	1	1
georgeta damian, viorica susanu	Romania	ROM	Female	Rowing	1	1
george vernot	Canada	CAN	Male	Swimming	2	1
george young	United States of America	USA	Male	Athletics	1	1
georgina bardach	Argentina	ARG	Female	Swimming	1	1
georg lammers	Germany	GER	Male	Athletics	1	1
georgy prokopenko	Soviet Union	URS	Male	Swimming	1	1
gerald ashworth, paul drayton, bob hayes, richard stebbins	United States of America	USA	Male	Athletics	1	1
gerard nijboer	Netherlands	NED	Male	Athletics	1	1
gerhard boetzelen, herbert buhtz	Germany	GER	Male	Rowing	1	1
gerhard hennige	West Germany	FRG	Male	Athletics	1	1
gerhard hetz	Germany	GER	Male	Swimming	1	1
gerhard hetz, hans-joachim klein, uwe jacobsen, horst-g?nter gregor, frank wiegand	Germany	GER	Male	Swimming	1	1
germain chardin, dorian mortelette	France	FRA	Male	Rowing	1	1
gert fredriksson	Sweden	SWE	Male	Canoeing	4	4
gert fredriksson, sven-olof sj?delius	Sweden	SWE	Male	Canoeing	1	1
gertrude ederle	United States of America	USA	Female	Swimming	2	1
gertrude liebhart	Austria	AUT	Female	Canoeing	1	1
gete wami	Ethiopia	ETH	Female	Athletics	3	2
gezahgne abera	Ethiopia	ETH	Male	Athletics	1	1
gheorghe simionov, gheorghe danilov	Romania	ROM	Male	Canoeing	1	1
giancarlo crosta, renato bosatta, tullio baraglia, giuseppe galante	Italy	ITA	Male	Rowing	1	1
gilbert bozon	France	FRA	Male	Swimming	1	1
giovanni calabrese, nicola sartori	Italy	ITA	Male	Rowing	1	1
giovanni de benedictis	Italy	ITA	Male	Athletics	1	1
gisela arendt	Germany	GER	Female	Swimming	1	1
giuseppe moioli, elio morille, giovanni invernizzi, franco faggi	Italy	ITA	Male	Rowing	1	1
giuseppina leone	Italy	ITA	Female	Athletics	1	1
gladys carson	Great Britain	GBR	Female	Swimming	1	1
glen housman	Australia	AUS	Male	Swimming	1	1
glenn beringen	Australia	AUS	Male	Swimming	1	1
glenn buchanan	Suriname	SUR	Male	Swimming	1	1
glenn cunningham	United States of America	USA	Male	Athletics	1	1
glenn davis	United States of America	USA	Male	Athletics	2	2
glenn davis, otis davis, jack yerman, earl young	United States of America	USA	Male	Athletics	1	1
glenn hardin	United States of America	USA	Male	Athletics	2	2
glenroy gilbert, robert esmie, donovan bailey, bruny surin	Canada	CAN	Male	Athletics	1	1
gloria siebert	German Democratic Republic	GDR	Female	Athletics	1	1
glory alozie	Nigeria	NGR	Female	Athletics	1	1
?gnes kov?cs	Hungary	HUN	Female	Swimming	2	2
g?nther pfaff, gerhard seibold	Austria	AUT	Male	Canoeing	1	1
godfrey brown	Great Britain	GBR	Male	Athletics	1	1
godfrey brown, godfrey rampling, william roberts, freddie wolff	Great Britain	GBR	Male	Athletics	1	1
gordon pirie	Great Britain	GBR	Male	Athletics	1	1
gottfried kottmann	Switzerland	SUI	Male	Rowing	1	1
grace jackson	Jamaica	JAM	Female	Athletics	1	1
graeme brewer	Australia	AUS	Male	Swimming	1	1
graeme smith	Great Britain	GBR	Male	Swimming	1	1
graham windeatt	Australia	AUS	Male	Swimming	1	1
g?ran larsson	Sweden	SWE	Male	Swimming	1	1
grant davies	Australia	AUS	Male	Canoeing	1	1
grant hackett	Australia	AUS	Male	Swimming	4	3
grant hackett, michael klim, todd pearson, antony matkovich, nicholas sprenger, craig stevens, ian thorpe	Australia	AUS	Male	Swimming	1	1
grant hackett, nick ffrost, leith brodie, grant brits, patrick murphy, kirk palmer	Australia	AUS	Male	Swimming	1	1
grantley goulding	Great Britain	GBR	Male	Athletics	1	1
g?rard blitz	Belgium	BEL	Male	Swimming	1	1
gratsian botev, pavel kharin	Soviet Union	URS	Male	Canoeing	1	1
greg barton	United States of America	USA	Male	Canoeing	3	3
greg barton, norman bellingham	United States of America	USA	Male	Canoeing	1	1
greg foster	United States of America	USA	Male	Athletics	1	1
greg haughton	Jamaica	JAM	Male	Athletics	1	1
gregor hradetzky	Austria	AUT	Male	Canoeing	1	1
gregory brough	Australia	AUS	Male	Swimming	1	1
gregory buckingham	United States of America	USA	Male	Swimming	1	1
gregory burgess	United States of America	USA	Male	Swimming	1	1
gregory fasala, michael delany, neil brooks, mark stockwell	Australia	AUS	Male	Swimming	1	1
gregory rogers, robert windle, graham white, michael wenden	Australia	AUS	Male	Swimming	1	1
greta andersen	Denmark	DEN	Female	Swimming	1	1
greta andersen, fritze carstensen-nathansen, karen harup, eva riise-arndt	Denmark	DEN	Female	Swimming	1	1
grete waitz	Norway	NOR	Female	Athletics	1	1
grigore obreja, gheorghe andriev	Romania	ROM	Male	Canoeing	1	1
grzegorz kotowicz, dariusz bialkowski	Poland	POL	Male	Canoeing	1	1
g?te hagstr?m	Sweden	SWE	Male	Athletics	1	1
guanliang meng, wenjun yang	China	CHN	Male	Canoeing	1	1
gudrun beckmann, jutta weber, heidemarie reineck, angela steinbach	West Germany	FRG	Female	Swimming	1	1
gudrun wegner	German Democratic Republic	GDR	Female	Swimming	1	1
guillaume leblanc	Canada	CAN	Male	Athletics	1	1
guillermo del riego, herminio men?ndez	Spain	ESP	Male	Canoeing	1	1
guillermo douglas	Uruguay	URU	Male	Rowing	1	1
gunhild hoffmeister	German Democratic Republic	GDR	Female	Athletics	3	2
gunnar h?ckert	Finland	FIN	Male	Athletics	1	1
gunnar larsson	Sweden	SWE	Male	Swimming	2	1
gunnar olsson, karl sundqvist	Sweden	SWE	Male	Canoeing	1	1
gunnar utterberg, sven-olof sj?delius	Sweden	SWE	Male	Canoeing	1	1
gustav jansson	Sweden	SWE	Male	Athletics	1	1
gustavo fran?a borges	Brazil	BRA	Male	Swimming	3	2
gustavo fran?a borges, carlos jayme, fernando scherer, edvaldo silva filho	Brazil	BRA	Male	Swimming	1	1
gustav sch?fer	Germany	GER	Male	Rowing	1	1
guy butler	Great Britain	GBR	Male	Athletics	2	2
